"","title","year","length","rating","votes","mpaa","Action","Animation","Comedy","Drama","budget_millions"
"373","Crazy in Alabama",1999,111,6.1,2086,"PG-13",0,0,1,1,15
"374","Crazy/Beautiful",2001,135,6.5,4503,"PG-13",0,0,0,1,14
"375","Crew, The",2000,84,5.3,1297,"PG-13",0,0,1,0,23
"376","Crier, The",1995,78,3.3,12,"R",0,0,0,0,0.25
"377","Crime Partners 2000",2001,102,4.4,57,"R",0,0,0,0,0.25
"378","Crime Spree",2003,98,6.3,953,"R",0,0,1,0,10
"379","Crimen del padre Amaro, El",2002,118,7,2469,"R",0,0,0,1,1.8
"380","Crimson Tide",1995,116,7.1,14033,"R",1,0,0,1,53
"381","Critical Care",1997,107,5.8,397,"R",0,0,1,1,12
"382","Crocodile Dundee in Los Angeles",2001,92,4.7,2698,"PG",0,0,1,1,25
"383","Crocodile Hunter: Collision Course, The",2002,90,5.3,1648,"PG",0,0,1,0,13
"384","Crossplot",1969,96,4.1,49,"PG-13",0,0,0,0,1
"385","Crossroads",2002,93,3.1,8546,"PG-13",0,0,1,1,12
"386","Crow: City of Angels, The",1996,84,3.8,3656,"R",1,0,0,0,13
"387","Crow: Salvation, The",2000,102,4.9,1383,"R",1,0,0,1,25
"388","Cruel Intentions",1999,97,6.5,25634,"R",0,0,0,1,11
"389","Cry of the Banshee",1970,87,4.6,180,"R",0,0,0,0,0.5
"390","Curdled",1996,88,5.5,959,"R",0,0,1,0,2.309723
"391","Curse of the Jade Scorpion, The",2001,103,6.8,5846,"PG-13",0,0,1,1,26
"392","Curse of the Puppet Master",1998,77,2.7,267,"R",0,0,0,0,0.25
"393","Cursed",2005,97,4.7,1277,"R",0,0,0,0,35
"394","Cutaway",2000,104,5.1,390,"R",1,0,0,0,9
"395","Cutthroat Island",1995,119,5.1,3942,"PG-13",1,0,0,0,92
"396","Cypher",2002,95,7.2,3160,"R",1,0,0,0,7.5
"397","D-Tox",2002,92,4.7,2742,"R",0,0,0,1,55
"398","D.E.B.S.",2004,91,6,300,"PG-13",1,0,1,0,3.5
"399","Daddy Day Care",2003,92,5.7,3803,"PG",0,0,1,0,60
"400","Daddy and Them",2001,101,5,364,"R",0,0,1,1,4
"401","Dagon",2001,97,6,1549,"R",0,0,0,0,4.8
"402","Damned, The",2001,90,2.2,22,"R",0,0,0,0,0.03
"403","Dancing in September",2000,102,6.4,166,"R",0,0,0,1,0.85
"404","Dangerous Lives of Altar Boys, The",2002,105,7.2,3274,"R",0,0,0,1,12
"405","Dante's Peak",1997,104,5.6,9203,"PG-13",1,0,0,1,104
"406","Daredevil",2003,133,5.7,20642,"R",1,0,0,0,75
"407","Dark Blue",2002,118,6.6,3882,"R",1,0,0,1,15
"408","Dark Heaven",2002,87,2.4,47,"R",0,0,0,0,0.08
"409","Darkness Falls",2003,86,4.5,4928,"PG-13",0,0,0,0,11
"410","Dawn of the Dead",2004,109,7.4,16283,"R",1,0,0,1,28
"411","Day After Tomorrow, The",2004,124,6.3,23749,"PG-13",1,0,0,1,125
"412","Day Without a Mexican, A",2004,100,5,561,"R",0,0,1,1,1.5
"413","Day of Defense",2003,102,3,8,"PG",0,0,0,1,0.5
"414","Daylight",1996,110,5.4,6979,"PG-13",1,0,0,1,80
"415","Dead Babies",2000,100,4.3,172,"R",0,0,1,0,1
"416","Dead Hate the Living!, The",2000,90,4.3,496,"R",0,0,1,0,0.15
"417","Dead Man Walking",1995,122,7.6,16177,"R",0,0,0,1,11
"418","Dead Man on Campus",1998,96,5.4,2829,"R",0,0,1,0,14
"419","Dead Man's Curve",1998,90,5.7,1241,"R",0,0,1,1,1
"420","Dead Presidents",1995,119,6.3,2641,"R",1,0,0,1,15
"421","Death 4 Told",2004,96,1.7,45,"R",0,0,0,0,0.085
"422","Death to Smoochy",2002,109,6.3,8003,"R",0,0,1,0,55
"423","Deconstructing Harry",1997,96,7.1,7342,"R",0,0,1,0,20
"424","Decoys",2004,95,4.2,580,"R",0,0,1,0,5
"425","Deep Blue Sea",1999,105,5.5,17666,"R",1,0,0,0,78
"426","Deep End of the Ocean, The",1999,106,5.9,2890,"PG-13",0,0,0,1,40
"427","Deep End, The",2001,101,6.8,3524,"R",0,0,0,1,3
"428","Deep Impact",1998,120,5.9,22684,"PG-13",0,0,0,1,75
"429","Deep Rising",1998,97,5.4,4626,"R",1,0,0,0,45
"430","Defender, The",2004,90,6.3,58,"R",1,0,0,0,6
"431","Delivered",1998,93,5.1,73,"R",0,0,1,1,1
"432","Dellamorte Dellamore",1994,105,7.3,2313,"R",0,0,1,0,4
"433","Demolitionist, The",1995,100,4.1,238,"R",1,0,0,0,1
"434","Dentist II, The",1998,100,4.1,401,"R",0,0,0,0,1.8
"435","Derailed",2002,89,3.4,1075,"R",1,0,0,0,18
"436","Desperado",1995,106,6.8,17929,"R",1,0,0,0,7
"437","Destino",2003,7,7.8,156,"PG",0,1,0,0,1.5
"438","Detention",2003,98,4.1,223,"R",1,0,0,1,10
"439","Detroit Rock City",1999,95,6,4607,"R",0,0,1,0,15
"440","Deuce Bigalow: Male Gigolo",1999,88,5.6,9897,"R",0,0,1,0,18
"441","Deuces Wild",2002,100,5.3,1511,"R",1,0,0,1,10
"442","Devil's Advocate, The",1997,144,7,26904,"R",0,0,0,1,57
"443","Devil's Own, The",1997,111,5.7,8485,"R",1,0,0,1,80
"444","Devil's Pond",2003,92,5.6,370,"R",0,0,0,1,5
"445","Diary of a Mad Black Woman",2005,116,3.9,837,"PG-13",0,0,1,1,5.5
"446","Dick",1999,94,6.3,5004,"PG-13",0,0,1,0,13
"447","Dickie Roberts: Former Child Star",2003,98,5.5,2076,"PG-13",0,0,1,0,17
"448","Die Another Day",2002,133,6.4,22136,"PG-13",1,0,0,0,142
"449","Die Hard: With a Vengeance",1995,131,7,25258,"R",1,0,0,0,90
"450","Different Loyalty, A",2004,96,5,135,"R",0,0,0,1,13
"451","Digimon: The Movie",2000,82,3.4,455,"PG",1,1,0,0,5
"452","Dill Scallion",1999,91,5.1,136,"PG-13",0,0,1,0,0.5
"453","Dinosaur",2000,82,6.3,5839,"PG",0,1,0,0,127.5
"454","Diplomatic Siege",1999,96,3.5,340,"R",1,0,0,0,45
"455","Dirty Pretty Things",2002,97,7.6,6274,"R",0,0,0,1,10
"456","Dirty Work",1998,82,5.9,4252,"PG-13",0,0,1,0,13
"457","Disturbing Behavior",1998,84,5.1,4620,"R",0,0,0,0,15
"458","Divine Secrets of the Ya-Ya Sisterhood",2002,116,5.5,4288,"PG-13",0,0,1,1,27
"459","Doctor Dolittle",1998,85,5.4,8287,"PG-13",0,0,1,0,71.5
"460","Doctor Sleep",2002,108,6.2,609,"R",0,0,0,0,10
"461","Doctor Zhivago",1965,200,7.9,10283,"PG-13",0,0,0,1,11
"462","Dodgeball: A True Underdog Story",2004,92,6.6,14584,"PG-13",0,0,1,0,20
"463","Dog of Flanders, A",1999,100,6,179,"PG",0,0,0,1,7
"464","Dogma",1999,130,7.3,43391,"R",0,0,1,0,10
"465","Dom durakov",2002,104,6.8,382,"R",0,0,0,1,2.5
"466","Domestic Disturbance",2001,91,5.4,4445,"PG-13",0,0,0,1,53
"467","Dominion",1995,95,5,85,"R",0,0,0,1,1.3
"468","Don't Say a Word",2001,113,6.2,10098,"R",0,0,0,1,50
"469","Donnie Brasco",1997,127,7.6,20029,"R",0,0,0,1,35
"470","Donnie Darko",2001,133,8.3,51961,"R",0,0,0,1,4.5
"471","Double Jeopardy",1999,105,5.9,13587,"R",0,0,0,1,40
"472","Double Take",2001,91,4.8,1503,"PG-13",1,0,1,0,24
"473","Double Tap",1997,87,5.3,184,"R",1,0,0,0,8
"474","Double Whammy",2001,100,5.6,886,"R",0,0,1,1,4
"475","Down Time",2001,90,3.5,55,"R",0,0,0,1,0.02
"476","Down and Out with the Dolls",2001,88,6,37,"R",0,0,1,0,1.2
"477","Down to Earth",2001,87,5.1,3720,"PG-13",0,0,1,0,30
"478","Down to You",2000,91,4.7,3232,"PG-13",0,0,1,1,9
"479","Dr T and the Women",2000,122,4.8,4776,"R",0,0,1,1,12
"480","Dr. Dolittle 2",2001,87,5.1,4920,"PG",0,0,1,0,72
"481","Dr. Jekyll and Ms. Hyde",1995,90,4.2,573,"PG-13",0,0,1,0,8
"482","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,8.7,63471,"PG",0,0,1,0,1.8
"483","Dracula",1992,128,7.1,19972,"R",0,0,0,1,40
"484","Dracula 2000",2000,99,4.9,5364,"R",0,0,0,0,28
"485","Dragonfly",2002,104,5.8,5431,"PG-13",0,0,0,1,60
"486","Dreamcatcher",2003,134,5.2,10403,"R",0,0,0,0,68
"487","Drive",1997,117,6.4,1086,"R",1,0,1,0,3.5
"488","Drive Me Crazy",1999,91,5.1,2934,"PG-13",0,0,1,1,8
"489","Driven",2001,116,4.4,7129,"PG-13",1,0,0,1,72
"490","Drowning Mona",2000,95,5.4,3454,"PG-13",0,0,1,0,16
"491","Drumline",2002,118,5.3,7368,"PG-13",0,0,1,1,20
"492","Dude, Where's My Car?",2000,83,4.6,13330,"PG-13",0,0,1,0,13
"493","Dudley Do-Right",1999,77,3.6,1790,"PG",0,0,1,0,22
"494","Duets",2000,112,5.8,2414,"R",0,0,1,1,15
"495","Dumb & Dumber",1994,101,6.6,27713,"PG-13",0,0,1,0,16
"496","Dumb and Dumberer: When Harry Met Lloyd",2003,85,3.3,4689,"PG-13",0,0,1,0,19
"497","Dungeons & Dragons",2000,107,4,7435,"PG-13",1,0,0,0,35
"498","Duplex",2003,89,5.7,4334,"PG-13",0,0,1,0,40
"499","Dusting Cliff 7",1996,95,3.5,80,"R",1,0,0,1,1.3
"500","DysFunktional Family",2003,89,5.6,207,"R",0,0,1,0,3
"501","E.T. the Extra-Terrestrial",1982,120,7.8,44175,"PG",0,0,0,1,10.5
"502","Ed Wood",1994,127,8,22612,"R",0,0,1,1,18
"503","Eddie",1996,100,4.9,1348,"PG-13",0,0,1,0,30
"504","Edges of the Lord",2001,95,7,639,"R",0,0,0,1,7.5
"505","Edtv",1999,122,6.2,10085,"PG-13",0,0,1,0,60
"506","Eight Legged Freaks",2002,99,5.5,6362,"PG-13",1,0,1,0,30
"507","Eighteenth Angel, The",1998,95,4.6,557,"R",1,0,0,0,25
"508","Election",1999,103,7.4,17521,"R",0,0,1,0,8.5
"509","Elektra",2005,96,4.9,5120,"PG-13",1,0,0,0,43
"510","Elephant",2003,81,7.3,9203,"R",0,0,0,1,3
"511","Elf",2003,95,7,10165,"PG",0,0,1,0,33
"512","Elizabeth",1998,124,7.6,14733,"R",0,0,0,1,25
"513","Ella Enchanted",2004,96,6.5,2502,"PG",0,0,1,0,35
"514","Elvira's Haunted Hills",2001,90,5.2,307,"PG-13",0,0,1,0,1.5
"515","Embrace of the Vampire",1994,93,4.2,1551,"R",0,0,0,0,0.8
"516","Emma",1996,121,6.9,6431,"PG",0,0,1,0,6
"517","Emmett's Mark",2002,104,6.2,427,"R",0,0,0,1,4.5
"518","Emperor's Club, The",2002,109,6.7,3056,"PG-13",0,0,0,1,12.5
"519","Empire",2002,90,6,1718,"R",1,0,0,1,3.5
"520","End of Days",1999,121,5.3,18237,"R",1,0,0,0,83
"521","End of Violence, The",1997,122,5.4,1575,"R",0,0,0,1,5
"522","End of the Affair, The",1999,102,7,4808,"R",0,0,0,1,23
"523","Enemy at the Gates",2001,131,7.3,19169,"R",1,0,0,1,70
"524","Enemy of the State",1998,131,7.1,23263,"R",1,0,0,1,90
"525","English Patient, The",1996,160,7.1,25210,"R",0,0,0,1,27
"526","Enough",2002,115,4.9,4339,"PG-13",0,0,0,1,38
"527","Enter the Dragon",1973,99,7.4,8078,"R",1,0,0,0,0.85
"528","Entrapment",1999,113,6.1,18543,"PG-13",0,0,1,0,66
"529","Envy",2004,99,4.3,3417,"PG-13",0,0,1,0,40
"530","Equilibrium",2002,107,7.6,17579,"R",1,0,0,0,20
"531","Era of Vampire, The",2002,90,4.2,329,"R",1,0,0,0,1
"532","Eraser",1996,115,5.8,14641,"R",1,0,0,1,100
"533","Erin Brockovich",2000,130,7.3,24301,"R",0,0,0,1,51
"534","Escanaba in da Moonlight",2001,91,5.5,373,"PG-13",0,0,1,0,1
"535","Escape from L.A.",1996,101,4.8,7955,"R",1,0,0,0,50
"536","Espinazo del diablo, El",2001,108,7.4,3474,"R",0,0,0,1,4.5
"537","Eternal Sunshine of the Spotless Mind",2004,108,8.6,46240,"R",0,0,1,1,20
"538","Eulogy",2004,91,6.5,773,"R",0,0,1,1,10
"539","EuroTrip",2004,90,6.1,8390,"R",0,0,1,0,25
"540","Eve's Bayou",1997,109,7.2,2302,"R",0,0,0,1,5
"541","Evelyn",2002,94,7.1,1163,"PG",0,0,0,1,10
"542","EvenHand",2002,92,7.3,169,"R",0,0,0,1,0.5
"543","Event Horizon",1997,96,5.7,15510,"R",0,0,0,0,70
"544","Ever After",1998,121,7,10250,"PG",0,0,1,1,26
"545","Everlasting Piece, An",2000,103,6.1,475,"R",0,0,1,0,14
"546","Everyone Says I Love You",1996,101,6.9,7314,"R",0,0,1,0,20
"547","Everything Put Together",2000,87,7.1,151,"R",0,0,0,1,0.5
"548","Evil Alien Conquerors",2002,89,3.8,111,"PG-13",0,0,1,0,0.5
"549","Evil Dead, The",1981,86,7.4,14407,"NC-17",0,0,0,0,0.35
"550","Evita",1996,134,6.2,8371,"PG",0,0,0,1,55
"551","Evolution",2001,101,5.8,14232,"PG-13",0,0,1,0,80
"552","Exit Wounds",2001,101,5.3,5370,"R",1,0,0,0,33
"553","Exorcist: The Beginning",2004,114,5,4130,"R",1,0,0,0,30
"554","Extreme Measures",1996,118,5.9,3417,"R",0,0,0,0,38
"555","Extreme Ops",2002,94,4,1337,"PG-13",1,0,0,0,40
"556","Eye for an Eye",1996,101,5.6,1843,"R",0,0,0,1,20
"557","Eye of the Beholder",1999,109,4.5,5549,"R",0,0,0,0,15
"558","Eyes Wide Shut",1999,159,7,37868,"R",0,0,0,1,65
"559","Facade",2000,93,4.8,93,"R",1,0,0,0,6
"560","Face/Off",1997,133,7.1,37506,"R",1,0,0,1,80
"561","Faculty, The",1998,104,6.1,13143,"R",0,0,0,0,15
"562","Fahrenheit 9/11",2004,122,7.9,34666,"R",0,0,0,0,6
"563","Fair Game",1995,91,3.9,2579,"R",1,0,1,1,50
"564","Faithful",1996,91,5.6,414,"R",0,0,1,0,13
"565","Falls, The",2003,85,5.7,29,"R",0,0,0,1,0.075
"566","Family Man, The",2000,125,6.5,11220,"PG-13",0,0,1,1,60
"567","Fan, The",1996,114,5.4,6920,"R",0,0,0,0,55
"568","Fantasma dell'opera, Il",1998,106,3.8,910,"R",0,0,0,1,10
"569","Far from Heaven",2002,107,7.7,9167,"PG-13",0,0,0,1,13.5
"570","Fargo",1996,98,8.2,65597,"R",0,0,0,1,7
"571","Fascination",2004,95,3.3,124,"R",0,0,0,1,5
"572","Fast and the Furious, The",2001,106,5.7,21428,"PG-13",1,0,0,0,38
"573","Father of the Bride Part II",1995,106,5.6,4089,"PG",0,0,1,0,30
"574","Fathers' Day",1997,98,4.7,2714,"PG-13",0,0,1,0,85
"575","Faust: Love of the Damned",2001,101,4.1,628,"R",0,0,0,0,6
"576","Fear X",2003,91,5.9,742,"PG-13",0,0,0,0,6.6
"577","FearDotCom",2002,101,3.2,5126,"R",0,0,0,0,42
"578","Female Trouble",1974,97,7.1,868,"NC-17",0,0,1,0,0.025
"579","Femme Fatale",2002,114,6.4,6083,"R",0,0,0,0,35
"580","Feng yun xiong ba tian xia",1998,85,6.3,922,"PG-13",1,0,0,0,10
"581","Festen",1998,105,8.2,11983,"R",0,0,0,1,1.3
"582","Fever",1999,95,5.7,248,"R",0,0,0,0,6
"583","Fever Pitch",2005,98,6.6,1712,"PG-13",0,0,1,0,39.69
"584","Fifth Element, The",1997,126,7.1,55398,"PG-13",1,0,0,1,90
"585","Fight Club",1999,139,8.5,112092,"R",0,0,0,1,63
"586","Final",2001,111,5.2,330,"R",0,0,0,1,0.08
"587","Final Destination",2000,98,6.6,16504,"R",0,0,0,0,23
"588","Final Destination 2",2003,90,6.3,8481,"R",0,0,0,0,26
"589","Final Fantasy: The Spirits Within",2001,106,6.5,16451,"PG-13",1,1,0,0,137
"590","Final Solution",2001,110,7,32,"R",1,0,0,1,1.5
"591","Finding Forrester",2000,136,7.3,13439,"PG-13",0,0,0,1,43
"592","Finding Graceland",1998,106,6.6,504,"PG-13",0,0,0,1,10
"593","Fire Over Afghanistan",2003,92,4.5,67,"R",1,0,0,1,0.155
"594","Firestorm",1998,89,4.4,987,"R",1,0,0,0,19
"595","Firm, The",1993,154,6.6,14708,"R",0,0,0,1,42
"596","First Knight",1995,134,5.6,8708,"PG-13",0,0,0,1,75
"597","First Love, Last Rites",1997,94,5,147,"R",0,0,0,1,0.3
"598","Flawless",1999,112,6.1,3287,"R",0,0,1,1,27
"599","Flight of the Phoenix",2004,113,6,2732,"PG-13",1,0,0,0,45
"600","Flintstones in Viva Rock Vegas, The",2000,90,3.7,1712,"PG",0,0,1,0,58
"601","Flossin",2001,81,7.9,7,"PG-13",0,0,0,0,0.086
"602","Following",1998,69,7.6,3197,"R",0,0,0,0,0.006
"603","For Love of the Game",1999,137,6.1,5782,"PG-13",0,0,0,1,50
"604","Foreign Correspondents",1999,102,7.6,117,"PG-13",0,0,0,1,0.5
"605","Foreigner, The",2003,96,3.1,904,"R",1,0,0,0,20
"606","Forever Lulu",2000,99,5.5,257,"R",0,0,1,0,20
"607","Forgotten, The",2004,94,5.8,8234,"PG-13",0,0,0,1,42
"608","Forrest Gump",1994,142,8.2,89722,"PG-13",0,0,1,1,55
"609","Forsaken, The",2001,90,5.1,1928,"R",0,0,0,0,5
"610","Fortress 2",1999,92,4.2,1027,"R",1,0,0,0,11
"611","Four Feathers, The",2002,125,6.2,4400,"PG-13",0,0,0,1,80
"612","Four Rooms",1995,98,6,10675,"R",0,0,1,1,4
"613","Four Weddings and a Funeral",1994,117,7.2,17820,"R",0,0,1,1,6
"614","Frailty",2001,100,7.4,10551,"R",0,0,0,1,11
"615","Frankenfish",2004,84,4.6,309,"R",1,0,1,0,3
"616","Frankenstein",1994,123,6,6941,"R",0,0,0,1,45
"617","Freaky Friday",2003,97,6.9,8052,"PG",0,0,1,1,26
"618","Freddy Got Fingered",2001,87,3.5,9115,"R",0,0,1,0,15
"619","Freddy Vs. Jason",2003,97,6.1,11109,"R",1,0,0,0,25
"620","Freddy's Dead: The Final Nightmare",1991,93,4.3,3618,"R",0,0,1,0,5
"621","Free Money",1998,91,4.7,619,"R",0,0,1,0,30
"622","Freeway",1996,102,6.5,4961,"R",0,0,0,1,3
"623","Freeway II: Confessions of a Trickbaby",1999,90,4.6,666,"R",0,0,0,1,2
"624","Freeze Frame",2004,99,5.8,189,"R",0,0,0,1,2
"625","Frequency",2000,118,7.4,15317,"PG-13",0,0,0,1,31
"626","Frida",2002,123,7.5,8614,"R",0,0,0,1,12
"627","Friday",1995,91,6.7,7020,"R",0,0,1,1,3.5
"628","Friday After Next",2002,85,4.9,1659,"R",0,0,1,0,20
"629","Friday Night Lights",2004,117,7,4290,"PG-13",0,0,0,1,30
"630","From Dusk Till Dawn",1996,108,6.8,28473,"R",1,0,1,0,20
"631","From Hell",2001,122,6.8,17292,"R",0,0,0,0,35
"632","From Justin to Kelly",2003,90,1.7,6517,"PG",0,0,1,0,12
"633","Frostbite",2005,83,2.8,201,"R",0,0,1,0,2.4
"634","Full Clip",2004,95,4.1,72,"R",1,0,0,0,0.5
"635","Full Frontal",2002,101,5,3056,"R",0,0,1,1,2
"636","Full Monty, The",1997,91,7.2,22115,"R",0,0,1,0,3.5
"637","Galaxy Quest",1999,102,7.2,22341,"PG",0,0,1,0,45
"638","Game of Their Lives, The",2005,101,6.4,125,"PG",0,0,0,1,20
"639","Game, The",1997,128,7.6,28099,"R",0,0,0,0,50
"640","Gangs of New York",2002,166,7.3,34808,"R",0,0,0,1,97
"641","Garage Days",2002,106,5.6,597,"R",0,0,1,1,6
"642","Garden State",2004,109,8.1,23814,"R",0,0,1,1,2.5
"643","Garfield",2004,80,4.8,4775,"PG",0,1,1,0,50
"644","Gattaca",1997,101,7.6,26071,"PG-13",0,0,0,1,36
"645","Gatto nel cervello, Un",1990,93,5.6,237,"R",0,0,0,0,0.1
"646","General's Daughter, The",1999,116,6.1,11128,"R",0,0,0,1,60
"647","George of the Jungle",1997,92,5.5,6430,"PG",0,0,1,0,55
"648","Gerry",2002,105,6,1944,"R",0,0,0,1,3.5
"649","Get Carter",2000,104,4.7,4927,"R",1,0,0,1,40
"650","Get Over It",2001,87,5.7,3561,"PG-13",0,0,1,0,10
"651","Get Shorty",1995,105,7,14825,"R",0,0,1,1,30.25
"652","Get on the Bus",1996,120,6.6,1142,"R",0,0,0,1,2.4
"653","Ghost Ship",2002,91,5.3,8399,"R",0,0,0,0,35
"654","Ghost World",2000,111,7.8,17976,"R",0,0,1,1,7
"655","Ghost and the Darkness, The",1996,109,6.4,8360,"R",1,0,0,1,55
"656","Ghosts of Mars",2001,98,4.6,6368,"R",1,0,0,0,28
"657","Ghosts of the Abyss",2003,43,6.6,664,"PG",0,0,0,0,13
"658","Ghouls, The",2003,81,6.1,43,"R",0,0,0,0,0.009
"659","Gift, The",2000,111,6.8,12440,"R",0,0,0,1,10
"660","Gigli",2003,121,2.3,11285,"R",0,0,1,0,54
"661","Ginger Snaps: Unleashed",2004,94,6.6,1118,"R",0,0,0,0,3.5
"662","Gingerbread Man, The",1998,114,5.7,2806,"R",0,0,0,0,25
"663","Girl 6",1996,108,5,1453,"R",0,0,1,1,12
"664","Girl, Interrupted",1999,127,7,16362,"R",0,0,0,1,24
"665","Gladiator",2000,155,8,92495,"R",1,0,0,1,103
"666","Glitter",2001,104,2.1,5209,"PG-13",0,0,0,1,22
"667","Global Heresy",2002,106,5.7,373,"R",0,0,0,1,12
"668","Gloria",1999,108,4.9,1144,"R",0,0,0,1,30
"669","Go",1999,103,7.4,20663,"R",0,0,1,0,6.5
"670","Go Fish",1994,84,5.8,621,"R",0,0,0,0,0.015
"671","Goat on Fire and Smiling Fish",1999,90,6.3,254,"R",0,0,1,0,0.04
"672","God's Army",2000,108,6.4,354,"PG",0,0,0,1,0.3
"673","Gods and Generals",2003,209,5.7,3002,"PG-13",1,0,0,1,56
"674","Gods and Monsters",1998,105,7.6,9020,"R",0,0,0,1,3.5
"675","Going Greek",2001,90,4.8,261,"R",0,0,1,0,0.198
"676","Gojira ni-sen mireniamu",1999,99,5.6,1150,"PG",1,0,0,0,1
"677","Golden Bowl, The",2000,130,6,1145,"R",0,0,0,1,15
"678","GoldenEye",1995,130,6.8,22991,"PG-13",1,0,0,0,80
"679","Gone Fishin'",1997,94,3.8,1884,"PG",0,0,1,0,53
"680","Gone in Sixty Seconds",2000,117,5.7,25400,"PG-13",1,0,0,0,90
"681","Gong fu",2004,99,7.9,5299,"R",1,0,1,0,20
"682","Good Boy!",2003,88,4.7,683,"PG",0,0,1,1,18
"683","Good Burger",1997,103,4,1714,"PG",0,0,1,0,9
"684","Good Girl, The",2002,93,6.9,8254,"R",0,0,1,1,5
"685","Good Will Hunting",1997,126,7.8,60858,"R",0,0,0,1,10
"686","Gosford Park",2001,137,7.3,16831,"R",0,0,0,1,15
"687","Gothika",2003,98,5.8,10524,"R",0,0,0,0,40
"688","Grace of My Heart",1996,116,6.5,982,"R",0,0,1,1,5
"689","Granny, The",1995,85,4.2,142,"R",0,0,1,0,1
"690","Grave, The",1996,90,5.6,303,"R",0,0,1,0,4
"691","Gravesend",1997,85,5,111,"R",0,0,0,1,0.065
"692","Great White Hope, The",1970,103,6.9,369,"PG-13",0,0,0,1,6
"693","Green Mile, The",1999,188,8.1,60142,"R",0,0,0,1,60
"694","Greenskeeper, The",2002,90,4.7,38,"R",0,0,1,0,0.08
"695","Grey Owl",1999,118,5.7,629,"PG-13",0,0,0,1,30
"696","Grey Zone, The",2001,108,7.3,1553,"R",0,0,0,1,5
"697","Grim",1995,86,1.6,228,"R",0,0,0,0,1
"698","Groove",2000,86,6,1171,"R",0,0,0,1,0.5
"699","Grosse Pointe Blank",1997,107,7.4,20400,"R",0,0,1,0,15
"700","Grudge, The",2004,92,5.9,11441,"PG-13",0,0,0,0,10
"701","Grumpier Old Men",1995,101,6.2,3711,"PG-13",0,0,1,0,25
"702","Guinevere",1999,104,6.3,804,"R",0,0,0,1,2.6
"703","Gun Shy",2000,101,5.4,1701,"R",0,0,1,0,10
"704","Guru, The",2002,94,5.9,3505,"R",0,0,1,0,11
"705","Guy Thing, A",2003,101,5.3,2885,"PG-13",0,0,1,0,20
"706","Hairshirt",1998,89,4.2,242,"R",0,0,1,0,0.065
"707","Half Past Dead",2002,98,3.9,2099,"PG-13",1,0,0,0,30
"708","Halloween H20: 20 Years Later",1998,85,5.3,8153,"R",0,0,0,0,17
"709","Halloween: Resurrection",2002,89,4.3,4323,"R",0,0,0,0,15
"710","Halloween: The Curse of Michael Myers",1995,88,4.2,2662,"R",0,0,0,0,5
"711","Hanging Up",2000,94,4.4,3129,"PG-13",0,0,1,1,40
"712","Hangman's Curse",2003,106,4.9,405,"PG-13",0,0,0,0,2
"713","Hannibal",2001,133,6.2,28876,"R",0,0,0,0,87
"714","Happy Gilmore",1996,92,6.8,17746,"PG-13",0,0,1,0,10
"715","Happy, Texas",1999,98,6.4,3453,"PG-13",0,0,1,0,1.7
"716","Hard Ball",2001,109,6,3083,"PG-13",0,0,0,1,21
"717","Hard Rain",1998,97,5.5,6161,"R",1,0,0,1,70
"718","Hardware",1990,93,5.2,1323,"R",1,0,0,0,1.5
"719","Harold & Kumar Go to White Castle",2004,90,7.1,8376,"R",0,0,1,0,9
"720","Harriet the Spy",1996,100,5.8,845,"PG",0,0,1,1,13
"721","Harry Potter and the Chamber of Secrets",2002,152,7.3,38394,"PG",0,0,0,0,100
"722","Harry Potter and the Prisoner of Azkaban",2004,141,7.8,24973,"PG",0,0,0,0,130
"723","Harry Potter and the Sorcerer's Stone",2001,152,7.2,46741,"PG",0,0,0,0,130
"724","Hart's War",2002,125,6.2,6368,"R",0,0,0,1,70
"725","Harvard Man",2001,99,4.9,1157,"R",0,0,0,1,5.5
"726","Haunted Mansion, The",2003,87,5,3341,"PG",0,0,1,0,90
"727","Haunting, The",1999,112,4.6,14425,"PG-13",0,0,0,0,80
"728","Hav Plenty",1997,84,5.3,256,"R",0,0,1,0,0.65
"729","He Got Game",1998,137,6.6,4198,"R",0,0,0,1,25
"730","Head Over Heels",2001,86,4.9,2632,"PG-13",0,0,1,0,14
"731","Heart of America",2003,87,6.1,204,"R",0,0,0,1,3
"732","Heart of Me, The",2002,96,6.2,336,"R",0,0,0,1,7
"733","Heartbreakers",2001,110,6.2,8037,"PG-13",0,0,1,0,40
"734","Hearts in Atlantis",2001,101,6.7,6577,"PG-13",0,0,0,1,31
"735","Heat",1995,188,7.9,44588,"R",1,0,0,1,60
"736","Heaven",2002,96,7.3,3857,"R",0,0,0,1,11
"737","Heaven's Prisoners",1996,132,5.4,1405,"R",0,0,0,0,25
"738","Heavenly Creatures",1994,108,7.7,11453,"R",0,0,0,1,5
"739","Heavy Metal 2000",2000,88,5.1,1148,"R",1,1,0,0,15
"740","Hedwig and the Angry Inch",2001,93,7.7,6072,"R",0,0,1,1,6
"741","Held Up",1999,89,4.6,555,"PG-13",0,0,1,0,8
"742","Helix... Loaded, The",2005,97,2.3,33,"R",1,0,1,0,1
"743","Hellboy",2004,132,6.7,15565,"PG-13",1,0,0,0,66
"744","Hellraiser: Bloodline",1996,86,4.2,2041,"R",0,0,0,0,4
"745","Henry V",1989,137,7.9,8241,"PG-13",1,0,0,1,9
