"","rspdnum","Sample","version_weather_v1","version_CDR","demog_age_year","AgeRecode","demog_state","Region","weather_pastsummer_v1","gw_belief","believer_confidence","believer_cause","believer_cause_followup","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","govt_fed","govt_state","govt_local","state_cleancoal","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","natgas_mystate","govt_nofedaction","state_impactsfelt","state_rps_neighbr","cdr_knowledge_info","cdr_knowledge","cdr_support","gw_threat","coalfpp_support_phaseout_v2","subsidy_support","carbontax_support_v3","state_gastax_v2","state_ee_v2","gw_geoengr","gw_adapt","fed_moralobligation","intl_economicimpact","worldviews_freetrade","worldviews_immigration","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_polparty","demog_polviews","worldviews_trump","demog_income","demog_gender","Date","Weight"
"225",225,"C","B","D",9999,3,"KY",2,5,1,1,3,3,3,2,"NOT SURE",10,3,3,3,3,3,NA,NA,NA,3,3,3,3,3,4,4,3,1,3,3,3,4,999,999,999,1,5,1,5,5,5,98,4,3,3,2,2,1,1,1,2,3,2,1,2,6,1,"10/12/2017 7:30:15",0.415
"226",226,"C","A","D",9999,4,"KY",2,2,1,1,1,NA,1,1,NA,2,1,2,1,1,98,NA,NA,NA,1,1,1,1,1,98,98,98,1,1,1,1,98,999,999,999,4,1,1,1,1,1,1,4,1,4,1,4,1,1,2,NA,5,1,5,4,2,1,"10/12/2017 7:37:32",0.49
"227",227,"C","B","D",9999,1,"WA",4,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,4,1,1,1,1,3,2,999,999,999,5,5,1,5,2,1,2,4,1,98,1,4,2,1,7,NA,2,1,4,4,NA,2,"10/12/2017 7:42:20",1.81
"228",228,"C","A","D",9999,3,"VA",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,3,3,3,4,4,4,4,4,4,4,4,3,4,999,999,999,1,5,5,5,5,2,4,4,4,1,1,2,1,1,1,2,3,4,3,3,NA,2,"10/12/2017 7:43:14",0.925
"229",229,"C","B","D",9999,4,"PA",1,5,1,1,3,1,1,1,NA,2,1,1,1,1,98,NA,NA,NA,1,1,2,1,1,4,1,1,2,4,2,3,1,999,999,999,4,5,1,2,5,1,4,4,1,1,4,2,1,1,1,2,2,1,4,2,2,1,"10/12/2017 7:53:54",1.1
"230",230,"C","A","D",9999,4,"IN",3,5,1,3,98,NA,2,1,NA,1,1,1,2,2,2,NA,NA,NA,1,1,2,2,2,3,98,2,2,98,2,2,3,999,999,999,4,2,4,4,4,3,98,3,2,2,2,3,3,10,1,1,3,1,3,4,2,2,"10/12/2017 7:58:44",0.98
"231",231,"C","B","D",9999,3,"HI",4,2,1,2,3,2,3,2,NA,2,2,2,1,3,2,NA,NA,NA,1,2,3,3,2,4,98,98,2,98,2,2,3,999,999,999,3,1,1,4,5,98,2,3,1,3,98,4,1,10,NA,NA,4,3,3,4,NA,2,"10/12/2017 8:02:57",0.615
"232",232,"C","A","D",9999,3,"TX",2,2,1,2,3,2,1,1,NA,7,1,3,2,3,2,NA,NA,NA,2,2,3,2,1,2,2,1,2,3,2,2,2,999,999,999,5,3,3,4,3,5,4,4,3,3,4,4,4,9,2,NA,4,2,3,3,4,1,"10/12/2017 8:05:07",1.885
"233",233,"C","B","D",9999,2,"NY",1,1,1,1,3,3,3,2,"NOT SURE",10,1,2,3,4,3,NA,NA,NA,2,2,2,3,3,3,3,3,2,2,3,2,4,999,999,999,2,4,1,3,3,3,2,2,3,2,3,2,1,1,1,2,2,1,3,3,NA,1,"10/12/2017 8:09:04",1.48
"234",234,"C","A","D",9999,2,"ID",4,2,1,2,3,2,2,98,NA,9,3,2,2,4,2,NA,NA,NA,2,2,3,2,2,2,98,98,1,1,2,2,98,999,999,999,4,2,1,2,4,2,2,3,2,3,2,1,2,1,7,NA,3,4,3,2,1,2,"10/12/2017 8:11:50",1.59
"235",235,"C","B","D",9999,3,"CO",4,2,1,1,98,NA,1,1,NA,1,1,1,3,3,3,NA,NA,NA,1,1,1,2,1,1,3,1,1,1,1,1,1,999,999,999,5,1,1,1,2,2,1,2,3,3,1,3,4,2,2,NA,4,1,2,3,NA,1,"10/12/2017 8:18:21",0.575
"236",236,"C","A","D",9999,3,"CA",4,2,1,1,1,NA,1,1,NA,2,1,2,1,2,1,NA,NA,NA,1,1,2,98,1,3,2,2,1,2,2,1,2,999,999,999,4,1,1,4,5,2,2,3,1,4,2,4,2,1,3,NA,3,1,4,3,3,2,"10/12/2017 8:18:46",1.055
"237",237,"C","B","D",9999,3,"NJ",1,1,1,1,2,NA,1,1,NA,10,1,1,1,1,1,NA,NA,NA,1,1,1,98,4,3,3,98,1,98,2,2,2,999,999,999,5,98,2,2,4,1,2,3,2,2,3,98,98,1,2,NA,2,1,3,4,4,1,"10/12/2017 8:20:45",0.895
"238",238,"C","A","D",9999,4,"HI",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,3,2,3,3,3,98,2,98,3,4,2,999,999,999,2,4,4,4,4,4,98,2,2,2,2,2,1,10,2,NA,2,4,3,3,NA,1,"10/12/2017 8:36:06",0.88
"239",239,"C","B","D",9999,NA,"FL",2,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,2,2,NA,2,4,1,4,3,1,4,4,3,999,999,999,3,2,2,5,5,1,1,4,3,1,3,2,1,1,NA,NA,4,2,1,2,6,1,"10/12/2017 8:37:29",0.38
"240",240,"C","A","D",9999,2,"NJ",1,2,1,1,1,NA,1,1,"DATA",4,2,4,2,4,2,NA,NA,NA,1,1,2,4,1,4,4,1,1,4,98,1,4,999,999,999,4,98,1,1,5,1,98,4,1,4,1,4,2,1,NA,NA,5,1,5,4,NA,2,"10/12/2017 8:39:38",1.21
"241",241,"C","B","D",9999,3,"NH",1,3,1,1,1,NA,1,1,NA,2,2,1,1,2,1,NA,NA,NA,1,2,2,4,1,1,3,98,1,4,1,1,4,999,999,999,5,1,1,1,2,1,2,4,1,4,1,4,3,1,2,NA,3,3,4,4,4,2,"10/12/2017 8:47:58",0.855
"242",242,"C","A","D",9999,2,"AL",2,5,1,1,1,NA,1,1,NA,11,1,2,1,2,2,NA,NA,NA,1,1,1,1,1,3,1,2,1,1,1,3,4,999,999,999,5,3,1,3,5,1,1,4,1,4,1,3,5,5,5,NA,5,NA,3,3,6,1,"10/12/2017 8:52:49",1.26
"243",243,"C","B","D",9999,2,"LA",2,5,1,4,2,NA,4,2,NA,3,4,3,2,4,3,NA,NA,NA,3,3,3,3,1,3,4,4,2,4,4,4,4,999,999,999,3,3,2,4,3,3,1,3,4,3,2,2,6,1,1,2,3,2,2,2,NA,1,"10/15/2017 6:39:46",1.1
"244",244,"C","A","D",9999,3,"OR",4,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,98,98,98,98,98,98,2,2,2,999,999,999,5,2,2,98,98,98,2,1,98,3,1,2,1,1,98,NA,3,1,3,98,NA,1,"10/15/2017 6:51:34",0.585
"245",245,"C","B","D",9999,2,"VA",2,5,1,1,98,NA,2,1,NA,3,2,2,1,3,1,NA,NA,NA,1,1,1,98,2,4,98,98,2,98,3,2,3,999,999,999,3,98,2,5,5,2,98,3,2,3,2,3,2,2,1,2,2,NA,3,4,NA,2,"10/15/2017 6:52:05",2.04
"246",246,"C","A","D",9999,3,"NY",1,2,1,2,3,1,2,2,NA,8,1,2,1,2,1,NA,NA,NA,2,2,3,2,2,2,2,2,1,2,2,2,2,999,999,999,4,2,1,2,2,2,2,4,1,4,2,98,98,9,2,NA,3,1,4,4,NA,1,"10/15/2017 6:57:30",2.195
"247",247,"C","B","D",9999,2,"IL",3,5,1,1,1,NA,1,1,NA,8,1,1,1,2,1,NA,NA,NA,1,1,1,1,1,4,4,1,1,1,1,2,1,999,999,999,4,98,1,5,5,2,1,2,2,2,2,4,2,NA,NA,NA,2,1,3,4,NA,1,"10/15/2017 7:01:28",1.58
"248",248,"C","A","D",9999,3,"NY",1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"10/15/2017 7:02:16",0.735
"249",249,"C","B","D",9999,3,"GA",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,3,3,3,4,4,4,2,4,1,1,4,4,4,999,999,999,1,5,5,4,5,5,4,4,4,4,2,2,1,1,NA,NA,3,4,1,1,3,1,"10/15/2017 7:08:34",0.715
"250",250,"C","A","D",9999,3,"KS",3,4,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,4,4,4,4,1,1,4,4,4,999,999,999,1,5,1,5,5,5,4,4,98,1,1,1,2,10,2,NA,4,3,1,1,4,2,"10/15/2017 7:09:23",0.545
"251",251,"C","B","D",9999,4,"PA",1,3,1,1,1,NA,2,1,NA,8,1,2,1,1,1,NA,NA,NA,1,1,1,2,3,3,2,1,1,2,4,3,98,999,999,999,3,5,1,2,5,1,98,4,2,4,1,2,2,1,2,NA,4,4,2,3,NA,1,"10/15/2017 7:18:28",0.35
"252",252,"C","A","D",9999,1,"CA",4,1,1,1,1,NA,1,1,NA,8,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,999,999,999,5,2,1,2,2,1,2,3,1,3,2,3,2,2,1,2,3,4,3,4,3,2,"10/15/2017 7:26:27",1.78
"253",253,"C","B","D",9999,4,"FL",2,1,1,1,1,NA,1,1,NA,8,1,1,1,4,1,NA,NA,NA,1,1,1,1,3,4,4,4,1,1,2,1,3,999,999,999,5,3,1,5,5,3,2,4,3,2,4,2,1,1,6,NA,1,4,4,4,1,2,"10/15/2017 7:34:01",1
"254",254,"C","A","D",9999,3,"NJ",1,3,1,1,3,98,1,1,NA,3,98,2,2,1,2,NA,NA,NA,2,2,3,2,1,98,98,NA,3,4,4,1,3,999,999,999,4,1,3,3,5,4,1,4,1,3,4,NA,4,1,1,2,4,98,98,NA,NA,1,"10/15/2017 7:42:34",0.355
"255",255,"C","B","D",9999,3,"GA",2,2,1,1,2,NA,1,1,NA,2,1,1,2,2,2,NA,NA,NA,1,2,2,4,2,2,4,2,2,2,2,1,4,999,999,999,4,1,1,2,5,2,2,4,1,4,1,3,3,1,6,NA,4,1,4,4,4,1,"10/15/2017 7:51:20",0.285
"256",256,"C","A","D",9999,2,"CT",1,5,1,1,2,NA,1,1,NA,3,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,3,999,999,999,5,2,2,2,2,2,2,4,2,3,2,3,6,1,3,NA,5,3,3,3,6,1,"10/15/2017 8:02:13",0.7
"257",257,"C","B","D",9999,3,"NY",1,2,1,1,98,NA,2,2,"NOT SURE",10,98,3,98,3,98,NA,NA,NA,98,98,98,98,98,98,98,98,1,2,98,98,3,999,999,999,4,5,3,4,4,2,2,2,3,2,98,4,1,9,6,NA,2,1,3,2,NA,2,"10/15/2017 8:04:56",2.905
"258",258,"C","A","D",9999,4,"PA",1,2,1,1,1,NA,1,1,NA,8,1,1,1,1,1,NA,NA,NA,1,1,1,4,1,2,1,2,1,2,1,2,3,999,999,999,3,1,2,2,4,1,98,4,1,4,2,4,5,1,1,1,4,4,3,4,6,1,"10/15/2017 8:19:19",0.18
"259",259,"C","A","D",9999,4,"HI",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,2,4,4,3,2,1,2,3,3,3,999,999,999,3,3,1,5,4,2,2,4,2,4,4,4,1,1,NA,NA,2,NA,NA,3,NA,1,"10/15/2017 8:19:57",0.96
"260",260,"C","A","D",9999,3,"AZ",4,5,1,2,3,1,1,1,NA,1,1,2,1,2,2,NA,NA,NA,1,1,1,98,1,3,4,4,1,2,1,3,3,999,999,999,4,98,1,2,3,1,2,2,1,2,1,4,2,1,1,2,2,2,1,2,98,2,"10/15/2017 8:22:21",1.305
"261",261,"C","B","D",9999,2,"LA",2,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,2,2,3,2,3,98,2,999,999,999,2,3,2,4,4,4,98,98,2,98,1,NA,3,1,1,2,4,2,2,2,6,1,"10/15/2017 8:22:51",0.7
"262",262,"C","A","D",9999,4,"AK",4,5,1,1,3,1,1,1,NA,1,1,1,2,1,1,NA,NA,NA,1,1,1,4,1,1,4,2,1,1,3,1,3,999,999,999,5,1,1,1,1,1,4,3,1,4,2,4,4,1,6,NA,4,1,3,4,5,2,"10/15/2017 8:35:15",0.69
"263",263,"C","B","D",9999,3,"CA",4,1,1,1,2,NA,3,2,NA,3,1,1,3,2,2,NA,NA,NA,2,2,2,3,3,3,2,3,4,2,4,4,1,999,999,999,1,5,3,5,5,5,3,2,3,98,2,NA,1,10,1,1,3,2,3,3,NA,2,"10/15/2017 8:53:57",0.845
"264",264,"C","A","D",9999,4,"NY",1,3,1,1,1,NA,1,1,NA,6,1,1,2,2,4,NA,NA,NA,1,2,2,3,2,98,3,2,2,1,1,1,4,999,999,999,NA,NA,NA,NA,NA,NA,2,4,1,4,2,4,3,1,6,NA,5,1,5,4,6,1,"10/15/2017 8:57:16",0.18
"265",265,"C","B","D",9999,3,"GA",2,1,1,1,1,NA,1,1,NA,4,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,3,98,1,2,1,1,4,999,999,999,5,1,1,1,1,1,1,4,1,4,1,4,6,1,1,2,5,4,5,4,98,1,"10/15/2017 8:57:55",0.355
"266",266,"C","A","D",9999,2,"CT",1,2,1,1,2,NA,2,1,NA,3,2,1,2,1,2,NA,NA,NA,2,1,1,2,2,3,2,2,2,2,2,2,2,999,999,999,3,3,2,3,3,2,2,3,2,2,2,3,4,1,2,NA,4,2,3,3,3,1,"10/15/2017 9:01:02",1
"267",267,"C","B","C",9999,4,"FL",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,3,3,2,4,4,98,4,2,4,4,4,4,999,999,999,1,3,1,5,5,5,4,4,4,2,4,4,1,1,1,1,3,NA,NA,1,NA,2,"10/16/2017 4:21:35",0.92
"268",268,"C","A","C",9999,3,"TX",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,2,1,98,4,4,1,4,1,1,1,4,1,999,999,999,1,5,5,5,5,5,1,4,1,1,4,4,1,1,1,1,5,4,1,2,4,1,"10/16/2017 4:22:08",0.285
"269",269,"C","B","C",9999,3,"KS",3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,3,3,1,2,4,4,2,1,98,4,4,2,999,999,999,1,5,2,5,5,5,4,1,4,4,1,4,1,1,NA,NA,3,2,2,1,5,1,"10/16/2017 4:29:55",0.585
"270",270,"C","A","C",9999,3,"KY",2,1,1,1,3,1,2,2,NA,3,1,3,98,2,2,NA,NA,NA,1,2,2,2,1,2,2,2,1,2,1,1,3,999,999,999,4,1,1,1,2,1,1,4,1,4,1,2,1,5,5,NA,5,4,4,3,6,2,"10/16/2017 4:34:44",1.085
"271",271,"C","B","C",9999,3,"AR",2,2,1,1,1,NA,1,1,"THE ICE MELTING",1,1,2,2,2,2,NA,NA,NA,1,2,3,1,2,2,2,3,1,2,1,1,1,999,999,999,5,1,1,1,1,1,1,4,1,4,1,4,6,1,2,NA,5,1,3,3,NA,1,"10/16/2017 4:44:04",0.355
"272",272,"C","A","C",9999,1,"MO",3,98,1,1,3,1,1,1,"SCIENTIFIC EVIDENCE",4,1,2,1,2,1,NA,NA,NA,1,1,1,1,4,4,1,98,1,98,1,1,1,999,999,999,4,1,1,5,5,1,1,4,1,4,1,1,3,1,6,NA,5,1,5,3,5,1,"10/16/2017 4:52:10",0.86
"273",273,"C","B","C",9999,2,"PA",1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,1,2,2,1,2,2,2,3,2,1,1,3,4,999,999,999,3,3,1,4,5,2,2,3,2,1,1,4,2,2,1,2,3,1,1,4,1,2,"10/16/2017 4:55:33",1.81
"274",274,"C","A","C",9999,1,"DC",2,2,1,2,98,NA,1,1,NA,4,2,1,1,2,2,NA,NA,NA,2,2,2,1,1,1,1,1,1,2,3,2,2,999,999,999,5,2,1,1,1,1,1,4,1,4,1,NA,NA,10,2,NA,4,2,2,3,5,1,"10/16/2017 4:57:23",0.78
"275",275,"C","B","C",9999,NA,"IA",3,1,1,1,3,2,2,2,NA,1,1,2,3,3,3,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,999,999,999,2,5,2,1,5,2,2,4,1,2,1,3,3,1,1,1,2,2,3,2,6,1,"10/16/2017 5:02:53",0.99
"276",276,"C","B","C",9999,4,"AZ",4,5,1,2,3,2,1,1,NA,2,1,1,98,4,1,NA,NA,NA,1,1,2,2,2,2,1,98,1,1,2,98,1,999,999,999,4,1,1,1,1,98,98,2,1,2,1,98,98,1,1,2,4,2,3,3,6,2,"10/16/2017 5:12:35",0.52
"277",277,"C","A","C",9999,3,"VA",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,2,1,2,999,999,999,3,2,1,2,2,2,2,3,2,3,1,4,4,2,2,NA,4,2,3,2,98,1,"10/16/2017 5:13:01",0.575
"278",278,"C","B","C",9999,1,"TX",2,98,1,1,3,1,98,98,"HOTTER",2,2,1,98,1,1,NA,NA,NA,2,1,2,1,1,1,4,98,1,1,1,1,98,999,999,999,4,1,1,1,1,98,98,4,98,4,2,4,2,9,2,NA,3,4,3,3,NA,2,"10/16/2017 5:19:19",3.03
"279",279,"C","B","C",9999,2,"OH",3,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,4,4,3,98,1,2,4,4,4,999,999,999,1,3,2,4,5,2,4,4,4,4,2,4,1,1,1,1,2,4,3,1,2,1,"10/16/2017 5:23:45",1.62
"280",280,"C","B","C",9999,2,"CA",4,1,1,1,98,NA,1,1,NA,2,1,1,1,1,1,NA,NA,NA,1,1,3,1,1,1,1,1,1,1,1,1,1,999,999,999,3,1,1,1,1,1,1,4,1,4,1,4,3,1,6,NA,NA,1,4,2,6,1,"10/16/2017 5:27:17",0.86
"281",281,"C","A","C",9999,4,"AZ",4,1,1,1,1,NA,1,1,NA,2,1,1,1,3,1,NA,NA,NA,1,1,1,1,3,2,3,2,1,2,2,2,98,999,999,999,5,2,1,1,2,2,2,4,1,4,2,4,1,2,1,2,3,1,4,4,2,2,"10/16/2017 5:29:20",1.28
"282",282,"C","B","C",9999,2,"CA",4,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,4,4,4,4,4,4,4,4,999,999,999,1,1,98,98,98,4,4,4,4,4,4,98,98,9,98,NA,NA,4,NA,3,NA,1,"10/16/2017 5:29:57",2.63
"283",283,"C","A","C",9999,1,"CA",4,5,1,1,1,NA,1,1,NA,8,1,2,1,2,1,NA,NA,NA,1,1,1,2,2,2,98,2,1,2,3,2,3,999,999,999,4,1,2,2,2,1,98,4,1,4,2,3,2,5,2,NA,4,1,4,4,NA,1,"10/16/2017 5:37:49",1.42
"284",284,"C","B","C",9999,2,"NY",1,3,1,1,3,1,2,98,NA,6,1,4,4,4,3,NA,NA,NA,2,2,2,1,1,4,4,1,98,4,2,NA,NA,999,999,999,98,98,1,5,5,5,98,4,2,1,4,98,4,1,1,2,4,2,3,4,6,2,"10/16/2017 5:40:16",1.04
"285",285,"C","A","C",9999,3,"CA",4,2,1,2,3,1,2,1,NA,2,1,1,1,1,2,NA,NA,NA,1,2,2,3,2,2,2,98,1,98,98,2,1,999,999,999,4,1,1,4,5,4,98,4,2,4,2,3,2,1,1,2,3,3,3,3,NA,2,"10/16/2017 5:40:19",0.925
"286",286,"C","B","C",9999,4,"TX",2,1,1,2,3,1,2,1,NA,11,1,2,1,1,2,NA,NA,NA,2,2,2,3,2,2,3,4,1,3,1,2,3,999,999,999,4,2,5,2,4,1,2,4,1,3,1,4,3,1,1,2,5,2,3,2,5,1,"10/16/2017 5:47:13",0.35
"287",287,"C","A","C",9999,2,"MI",3,5,1,2,1,NA,3,1,NA,10,1,1,1,2,2,NA,NA,NA,2,2,2,1,1,4,4,1,1,4,2,4,4,999,999,999,4,3,1,5,5,1,1,4,98,98,1,4,2,1,1,1,2,NA,NA,3,NA,1,"10/16/2017 5:49:46",1.48
"288",288,"C","B","C",9999,3,"NY",1,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,4,4,1,3,3,1,4,4,3,999,999,999,3,1,4,5,5,5,1,4,1,98,1,3,1,10,2,NA,4,4,3,3,6,1,"10/16/2017 5:56:21",0.105
"289",289,"C","A","C",9999,4,"MI",3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,3,3,3,3,4,4,4,3,1,2,4,4,4,999,999,999,1,3,1,4,5,2,4,4,4,4,4,4,1,1,6,NA,2,1,3,3,NA,1,"10/16/2017 6:00:08",0.96
"290",290,"C","B","C",9999,4,"TX",2,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,1,1,1,1,1,3,1,999,999,999,3,1,1,1,5,1,1,2,1,98,1,1,4,10,1,2,3,4,3,3,3,2,"10/16/2017 6:49:43",1.15
"291",291,"C","A","C",9999,1,"CA",4,2,1,3,1,NA,2,2,NA,1,2,2,3,2,2,NA,NA,NA,2,3,3,4,1,3,1,2,3,3,4,1,2,999,999,999,3,2,2,2,5,4,2,3,2,2,2,4,1,1,1,2,2,2,3,3,NA,1,"10/16/2017 6:54:22",1.47
"292",292,"C","B","C",9999,3,"IL",3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,3,4,4,4,4,1,1,1,4,4,4,999,999,999,1,5,1,4,5,1,4,4,4,4,4,4,1,1,2,NA,4,2,1,1,6,2,"10/16/2017 6:55:26",0.525
"293",293,"C","A","C",9999,4,"KY",2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,98,98,98,4,98,4,3,3,999,999,999,1,4,5,4,4,98,4,3,4,1,98,2,1,1,1,1,1,2,1,2,1,2,"10/16/2017 6:56:08",1
"294",294,"C","B","C",9999,4,"FL",2,5,1,1,3,2,4,2,NA,9,4,4,4,4,4,NA,NA,NA,3,3,3,1,4,4,4,4,4,98,4,4,2,999,999,999,1,2,4,5,5,2,2,1,3,1,3,2,1,10,2,NA,4,NA,NA,1,NA,1,"10/16/2017 6:59:53",0.27
"295",295,"C","A","C",9999,2,"SC",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,1,1,98,98,3,2,98,4,98,2,3,2,999,999,999,2,2,4,5,5,4,3,4,4,1,2,1,1,1,1,2,5,NA,2,NA,5,1,"10/16/2017 8:15:16",0.87
"296",296,"C","B","C",9999,2,"CO",4,5,1,1,1,NA,1,1,NA,4,1,1,2,1,2,NA,NA,NA,1,1,3,3,1,2,2,1,1,2,1,1,4,999,999,999,5,1,1,1,2,2,2,4,2,98,1,4,3,1,NA,NA,4,1,4,4,6,1,"10/16/2017 8:16:18",0.7
"297",297,"C","A","C",9999,1,"WI",3,3,1,3,2,NA,2,2,NA,3,2,98,3,2,2,NA,NA,NA,2,1,2,2,2,3,2,1,2,2,2,3,1,999,999,999,1,3,2,4,4,3,2,2,2,3,2,NA,98,1,1,1,4,2,2,3,3,1,"10/16/2017 8:28:38",0.99
"298",298,"C","B","C",9999,3,"WI",3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,3,3,1,1,4,1,1,4,1,4,4,4,999,999,999,2,4,5,5,5,1,1,1,4,1,1,4,1,5,1,2,3,2,1,1,6,1,"10/16/2017 8:28:43",0.975
"299",299,"C","A","C",9999,3,"IL",3,3,1,2,2,NA,4,2,NA,9,4,4,4,3,4,NA,NA,NA,2,2,3,4,4,4,1,4,4,1,4,4,1,999,999,999,1,2,1,3,4,5,4,1,2,1,2,4,1,1,6,NA,4,3,1,3,4,1,"10/16/2017 8:35:06",0.285
"300",300,"C","B","C",9999,1,"OH",3,1,1,1,1,NA,1,1,NA,8,1,1,2,2,2,NA,NA,NA,2,2,2,4,2,4,4,98,1,4,1,2,98,999,999,999,5,2,1,2,5,2,4,4,2,4,2,1,3,1,7,NA,3,1,4,4,6,2,"10/16/2017 8:40:00",1.26
"301",301,"C","A","C",9999,3,"AR",2,5,1,1,1,NA,1,1,NA,2,1,3,3,4,1,NA,NA,NA,2,2,3,2,2,1,2,3,2,2,2,1,3,999,999,999,4,2,3,4,5,3,3,2,3,2,3,3,4,1,2,NA,2,2,4,2,4,1,"10/16/2017 8:41:46",0.895
"302",302,"C","B","D",9999,3,"MA",1,5,1,1,1,NA,1,1,NA,10,1,2,1,1,1,NA,NA,NA,1,1,1,4,1,4,1,98,1,4,2,2,3,999,999,999,5,1,1,1,1,1,4,4,1,4,2,98,98,NA,2,NA,4,4,4,4,NA,2,"10/17/2017 4:11:49",0.795
"303",303,"C","A","D",9999,3,"FL",2,2,1,2,1,NA,1,1,NA,10,1,2,1,2,2,NA,NA,NA,1,1,1,3,98,4,3,2,1,98,98,2,98,999,999,999,4,1,1,5,4,3,2,4,1,4,2,4,2,1,3,NA,3,1,3,4,NA,2,"10/17/2017 4:23:04",0.925
"304",304,"C","B","D",9999,4,"MD",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,3,1,2,3,2,2,1,3,4,2,3,999,999,999,3,2,1,5,5,1,1,4,1,2,2,1,3,1,6,NA,5,1,3,NA,NA,1,"10/17/2017 4:26:50",0.35
"305",305,"C","B","D",9999,4,"OH",3,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,98,4,2,98,2,1,2,98,1,999,999,999,2,5,2,4,4,5,NA,3,3,1,3,1,2,1,1,1,3,2,2,2,2,1,"10/17/2017 4:30:59",0.72
"306",306,"C","A","D",9999,3,"PA",1,2,1,2,3,1,2,1,NA,3,2,2,1,2,2,NA,NA,NA,1,2,2,1,2,2,1,4,1,2,2,3,1,999,999,999,4,2,2,2,5,2,2,2,2,4,1,4,3,5,6,NA,5,NA,NA,4,NA,1,"10/17/2017 4:32:53",0.915
"307",307,"C","B","D",9999,4,"TX",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,98,98,98,2,1,98,4,2,2,98,4,4,98,999,999,999,2,4,2,4,5,4,2,98,2,98,1,4,1,10,1,2,2,2,2,3,3,2,"10/17/2017 4:35:48",1.35
